#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,SUZUKI Zion,Zion,SUZUKI,SUZUKI,2002-08-21,Parma (ITA),190.0,Italy
2,DF,SUGAWARA Yukinari,Yukinari,SUGAWARA,SUGAWARA,2000-06-28,SV Werder Bremen (GER),179.0,Italy
3,DF,TANIGUCHI Shogo,Shogo,TANIGUCHI,TANIGUCHI,1991-07-15,Sint-Truiden VV (BEL),185.0,Italy
4,DF,ITAKURA Kou,Kou,ITAKURA,ITAKURA,1997-01-27,AFC Ajax (NED),188.0,Italy
5,DF,NAGATOMO Yuto,Yuto,NAGATOMO,NAGATOMO,1986-09-12,FC Tokyo (JPN),170.0,Italy
6,MF,ENDO Wataru,Wataru,ENDO,ENDO,1993-02-09,Liverpool FC (ENG),178.0,Italy
7,MF,TANAKA Ao,Ao,TANAKA,TANAKA,1998-09-10,Leeds United FC (ENG),180.0,Italy
8,MF,KUBO Takefusa,Takefusa,KUBO,KUBO,2001-06-04,Real Sociedad (ESP),173.0,Italy
9,FW,GOTO Keisuke,Keisuke,GOTO,GOTO,2005-06-03,Sint-Truiden VV (BEL),191.0,Italy
10,MF,DOAN Ritsu,Ritsu,DOAN,DOAN,1998-06-16,Eintracht Frankfurt (GER),172.0,Italy
11,MF,MAEDA Daizen,Daizen,MAEDA,DAIZEN,1997-10-20,Celtic FC (SCO),173.0,Italy
12,GK,OSAKO Keisuke,Keisuke,OSAKO,OSAKO,1999-07-28,Sanfrecce Hiroshima (JPN),188.0,Italy
13,MF,NAKAMURA Keito,Keito,NAKAMURA,NAKAMURA,2000-07-28,Stade Reims (FRA),180.0,Italy
14,MF,ITO Junya,Junya,ITO,ITO,1993-03-09,KRC Genk (BEL),177.0,Italy
15,MF,KAMADA Daichi,Daichi,KAMADA,KAMADA,1996-08-05,Crystal Palace FC (ENG),180.0,Italy
16,DF,WATANABE Tsuyoshi,Tsuyoshi,WATANABE,WATANABE,1997-02-05,Feyenoord Rotterdam (NED),184.0,Italy
17,MF,SUZUKI Yuito,Yuito,SUZUKI,Y. SUZUKI,2001-10-25,SC Freiburg (GER),175.0,Italy
18,FW,UEDA Ayase,Ayase,UEDA,AYASE,1998-08-28,Feyenoord Rotterdam (NED),182.0,Italy
19,FW,OGAWA Koki,Koki,OGAWA,OGAWA,1997-08-08,NEC Nijmegen (NED),186.0,Italy
20,DF,SEKO Ayumu,Ayumu,SEKO,SEKO,2000-06-07,Le Havre AC (FRA),186.0,Italy
21,DF,ITO Hiroki,Hiroki,ITO,H. ITO,1999-05-12,FC Bayern München (GER),188.0,Italy
22,DF,TOMIYASU Takehiro,Takehiro,TOMIYASU,TOMIYASU,1998-11-05,AFC Ajax (NED),187.0,Italy
23,GK,HAYAKAWA Tomoki,Tomoki,HAYAKAWA,HAYAKAWA,1999-03-03,Kashima Antlers (JPN),187.0,Italy
24,MF,SANO Kaishu,Kaishu,SANO,SANO,2000-12-30,1 . FSV Mainz 05 (GER),176.0,Italy
25,DF,SUZUKI Junnosuke,Junnosuke,SUZUKI,J. SUZUKI,2003-07-12,FC København (DEN),180.0,Italy
26,FW,SHIOGAI Kento,Kento,SHIOGAI,SHIOGAI,2005-03-26,VfL Wolfsburg (GER),180.0,Italy
,Head coach,,Hajime,MORIYASU,,,,,Japan
